Secao,Variavel,Metrica,Valor
GERAL,Total de Moléculas,Count,70361
GERAL,Moléculas Válidas (RDKit),Count,70361
TOXICIDADE,log_dl50_mouse_vi,count,16380.0000
TOXICIDADE,log_dl50_mouse_vo,count,22675.0000
TOXICIDADE,log_dl50_mouse_ip,count,35166.0000
TOXICIDADE,log_dl50_rat_vi,count,2286.0000
TOXICIDADE,log_dl50_rat_vo,count,9823.0000
TOXICIDADE,log_dl50_rat_ip,count,4771.0000
TOXICIDADE,log_dl50_mouse_vi,null_count,53981.0000
TOXICIDADE,log_dl50_mouse_vo,null_count,47686.0000
TOXICIDADE,log_dl50_mouse_ip,null_count,35195.0000
TOXICIDADE,log_dl50_rat_vi,null_count,68075.0000
TOXICIDADE,log_dl50_rat_vo,null_count,60538.0000
TOXICIDADE,log_dl50_rat_ip,null_count,65590.0000
TOXICIDADE,log_dl50_mouse_vi,mean,1.8152
TOXICIDADE,log_dl50_mouse_vo,mean,2.8915
TOXICIDADE,log_dl50_mouse_ip,mean,2.4475
TOXICIDADE,log_dl50_rat_vi,mean,1.9328
TOXICIDADE,log_dl50_rat_vo,mean,2.9033
TOXICIDADE,log_dl50_rat_ip,mean,2.3821
TOXICIDADE,log_dl50_mouse_vi,std,0.6629
TOXICIDADE,log_dl50_mouse_vo,std,0.5854
TOXICIDADE,log_dl50_mouse_ip,std,0.6372
TOXICIDADE,log_dl50_rat_vi,std,0.8791
TOXICIDADE,log_dl50_rat_vo,std,0.8536
TOXICIDADE,log_dl50_rat_ip,std,0.7876
TOXICIDADE,log_dl50_mouse_vi,min,-0.4948
TOXICIDADE,log_dl50_mouse_vo,min,-0.4763
TOXICIDADE,log_dl50_mouse_ip,min,-0.4949
TOXICIDADE,log_dl50_rat_vi,min,-0.4815
TOXICIDADE,log_dl50_rat_vo,min,-0.4841
TOXICIDADE,log_dl50_rat_ip,min,-0.4949
TOXICIDADE,log_dl50_mouse_vi,25%,1.4771
TOXICIDADE,log_dl50_mouse_vo,25%,2.6021
TOXICIDADE,log_dl50_mouse_ip,25%,2.1038
TOXICIDADE,log_dl50_rat_vi,25%,1.3799
TOXICIDADE,log_dl50_rat_vo,25%,2.4771
TOXICIDADE,log_dl50_rat_ip,25%,1.9537
TOXICIDADE,log_dl50_mouse_vi,50%,1.7482
TOXICIDADE,log_dl50_mouse_vo,50%,3.0000
TOXICIDADE,log_dl50_mouse_ip,50%,2.5211
TOXICIDADE,log_dl50_rat_vi,50%,1.8513
TOXICIDADE,log_dl50_rat_vo,50%,3.0212
TOXICIDADE,log_dl50_rat_ip,50%,2.4564
TOXICIDADE,log_dl50_mouse_vi,75%,2.2480
TOXICIDADE,log_dl50_mouse_vo,75%,3.2672
TOXICIDADE,log_dl50_mouse_ip,75%,2.9031
TOXICIDADE,log_dl50_rat_vi,75%,2.4771
TOXICIDADE,log_dl50_rat_vo,75%,3.5131
TOXICIDADE,log_dl50_rat_ip,75%,2.9031
TOXICIDADE,log_dl50_mouse_vi,max,4.6990
TOXICIDADE,log_dl50_mouse_vo,max,5.0463
TOXICIDADE,log_dl50_mouse_ip,max,5.6665
TOXICIDADE,log_dl50_rat_vi,max,5.1072
TOXICIDADE,log_dl50_rat_vo,max,5.0569
TOXICIDADE,log_dl50_rat_ip,max,4.9004
PROPRIEDADES,MW,count,70361.0000
PROPRIEDADES,LogP,count,70361.0000
PROPRIEDADES,TPSA,count,70361.0000
PROPRIEDADES,HBD,count,70361.0000
PROPRIEDADES,HBA,count,70361.0000
PROPRIEDADES,RotatableBonds,count,70361.0000
PROPRIEDADES,MW,null_count,0.0000
PROPRIEDADES,LogP,null_count,0.0000
PROPRIEDADES,TPSA,null_count,0.0000
PROPRIEDADES,HBD,null_count,0.0000
PROPRIEDADES,HBA,null_count,0.0000
PROPRIEDADES,RotatableBonds,null_count,0.0000
PROPRIEDADES,MW,mean,309.3738
PROPRIEDADES,LogP,mean,2.8031
PROPRIEDADES,TPSA,mean,57.4859
PROPRIEDADES,HBD,mean,1.1333
PROPRIEDADES,HBA,mean,3.7180
PROPRIEDADES,RotatableBonds,mean,4.7708
PROPRIEDADES,MW,std,133.7688
PROPRIEDADES,LogP,std,1.9195
PROPRIEDADES,TPSA,std,46.3883
PROPRIEDADES,HBD,std,1.5645
PROPRIEDADES,HBA,std,2.5351
PROPRIEDADES,RotatableBonds,std,3.7600
PROPRIEDADES,MW,min,16.0430
PROPRIEDADES,LogP,min,-19.3137
PROPRIEDADES,TPSA,min,0.0000
PROPRIEDADES,HBD,min,0.0000
PROPRIEDADES,HBA,min,0.0000
PROPRIEDADES,RotatableBonds,min,0.0000
PROPRIEDADES,MW,25%,230.8110
PROPRIEDADES,LogP,25%,1.6859
PROPRIEDADES,TPSA,25%,30.9300
PROPRIEDADES,HBD,25%,0.0000
PROPRIEDADES,HBA,25%,2.0000
PROPRIEDADES,RotatableBonds,25%,2.0000
PROPRIEDADES,MW,50%,292.2810
PROPRIEDADES,LogP,50%,2.7695
PROPRIEDADES,TPSA,50%,49.7700
